video_uuid	video	frame_count	first_frame	last_frame	global_id
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	0	6	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:11
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	4	0	51	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:12
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	13	0	39	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:13
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	0	0	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:14
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	4	0	66	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:15
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	2	0	1	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:16
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	55	0	141	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:17
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	0	35	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:18
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	0	0	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:19
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	40	0	141	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:20
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	0	72	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:21
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	1	1	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:5
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	12	1	17	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:6
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	43	1	141	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:9
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	1	56	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:11
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	7	1	23	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:14
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	2	2	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:8
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	2	2	82	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:13
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	8	8	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:16
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	20	9	58	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:22
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	1	10	10	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:18
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	15	10	59	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:19
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	78	13	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:21
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	82	15	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:23
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	2	21	45	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:24
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	24	30	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:25
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	2	27	30	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:26
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	38	30	142	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:27
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	38	33	142	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:28
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	63	34	143	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:24
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	29	36	141	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:29
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	17	37	103	176073c9-b682-43c3-9b4f-0e84712a8e1c:car:25
176073c9-b682-43c3-9b4f-0e84712a8e1c	example_alt.mp4	3	37	71	176073c9-b682-43c3-9b4f-0e84712a8e1c:person:26
