video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,510 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=90 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,663 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=91 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,751 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=92 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,832 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=93 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,914 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=94 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:01,997 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=95 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,078 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=96 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,160 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=97 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,240 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=98 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,321 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=99 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,404 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=100 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,489 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=101 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,571 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=102 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,654 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=103 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,739 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=104 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,820 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=105 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,904 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=106 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:02,996 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=107 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,089 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=108 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,173 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=109 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,254 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=110 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,334 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=111 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,437 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=112 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,578 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=113 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,668 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=114 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,757 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=115 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,843 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=116 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:03,935 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=117 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,015 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=118 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,098 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=119 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,180 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=120 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,260 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=121 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,340 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=122 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,426 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=123 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,510 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=124 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,602 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=125 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,702 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=126 detections=10
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,798 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=127 detections=10
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,885 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=128 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:04,967 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=129 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:05,048 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=130 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:05,130 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=131 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:05,210 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=132 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:05,292 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=133 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:05,374 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=134 detections=9
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:05,533 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=135 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:53:05,645 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=136 detections=8
