video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,357 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=569 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,437 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=570 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,521 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=571 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,601 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=560 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,680 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=561 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,762 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=562 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,840 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=563 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:12,931 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=564 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,011 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=565 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,106 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=566 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,194 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=567 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,289 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=568 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,376 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=569 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,524 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=570 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,666 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=571 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,748 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=572 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:13,831 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=573 detections=4
